1.95,20.44,0
1.91,20.3,0
1.86,20.26,0
1.8,20.42,0
1.9,20.48,0
2.01,20.55,0
2.39,21.52,14.85
3.57,23.26,64.38
4.08,25.05,133.27
4.59,26.99,171.2
4.84,28.3,194.65
4.91,29,177.83
4.94,29.31,179.17
5.07,28.86,140.65
5.12,28.04,114.25
4.86,27.09,79.45
3.87,25.9,30.35
2.47,24.16,1.55
2.3,23.46,0
2.12,22.98,0
1.98,22.67,0
1.82,22.34,0
1.79,22.06,0
1.77,21.81,0
1.73,21.58,0
1.66,21.44,0
1.6,21.35,0
1.56,21.3,0
1.51,21.26,0
1.41,21.33,0
1.29,22.22,20.4
1.77,24.18,96.45
2.3,25.83,183.58
2.73,27.4,260.98
3.1,28.41,306.8
3.36,28.9,315.27
3.47,29.12,303.02
3.54,29.05,239.8
3.63,28.7,188.02
3.65,27.97,110.98
3.26,26.66,45.35
2.33,24.48,2.55
2.19,23.52,0
1.99,22.94,0
1.85,22.48,0
1.81,22.04,0
1.77,21.62,0
1.63,21.39,0
1.36,21.49,0
1.06,21.63,0
0.97,21.53,0
0.95,21.39,0
0.87,21.27,0
0.73,21.31,0
0.55,21.96,12.73
0.99,23.94,93.48
1.7,25.86,165.48
1.98,27.49,246.6
2.11,28.79,307.9
2.27,29.68,354.38
2.48,30.14,327.05
2.76,30.19,280.92
3.09,29.83,214.1
3.24,29.06,135.2
2.99,27.7,55
2.44,25.4,2.92
2.57,24.33,0
2.49,23.73,0
2.35,23.2,0
2.18,22.71,0
2.03,22.23,0
1.99,21.86,0
1.96,21.56,0
1.9,21.44,0
1.7,21.48,0
1.44,21.67,0
1.14,21.89,0
0.85,22.08,0
0.64,22.76,18.27
0.97,24.71,91.12
1.44,26.58,180.95
1.66,28.17,257.83
1.83,29.37,339.1
2.05,30.12,352.52
2.17,30.45,340.92
2.29,30.44,301.27
2.55,30.08,240.92
3.08,29.2,151.95
3.45,27.62,59.27
3.45,25.47,3.08
3.57,24.44,0
3.07,23.84,0
2.6,23.48,0
2.15,23.19,0
2.04,22.94,0
1.98,22.71,0
1.92,22.55,0
1.86,22.41,0
1.77,22.27,0
1.71,22.11,0
1.64,22,0
1.59,21.98,0
1.6,22.76,11.33
2.5,24.58,61.88
2.91,26.22,127.98
2.94,27.61,185.1
2.87,28.62,245.55
2.96,29.29,280.42
3.28,29.71,294.2
3.58,29.8,254.7
3.93,29.41,160.42
4.26,28.29,105.25
4.06,26.83,34.92
3.23,25.01,2.23
3.3,24.15,0
3.21,23.62,0
3.04,23.26,0
2.86,22.96,0
2.65,22.67,0
2.45,22.4,0
2.19,22.12,0
2.05,21.87,0
1.89,21.63,0
1.81,21.46,0
1.82,21.3,0
1.79,21.21,0
1.91,21.98,15.67
2.73,23.58,81.58
3.52,25.29,164.95
4.14,26.79,195.73
4.62,27.79,225.08
5.06,28.4,215.67
5.45,28.66,198.6
5.72,28.5,222.17
5.85,27.95,164.88
5.66,26.9,95.25
4.68,25.48,34.83
3.04,23.66,2.42
2.62,22.82,0
2.35,22.26,0
2.11,21.83,0
1.98,21.48,0
1.92,21.19,0
1.88,21,0
1.89,20.82,0
1.91,20.73,0
2.02,20.62,0
2.11,20.59,0
2.21,20.51,0
2.25,20.53,0
2.42,21.6,15.7
3.52,23.51,78.2
4.41,25.3,156.38
4.79,26.93,248.85
4.89,28.01,300.62
4.95,28.62,344.35
4.94,28.81,346.85
4.92,28.7,287.5
4.91,28.28,232.5
4.79,27.51,149.98
4.15,26.05,63.85
2.76,23.73,3.85
2.54,22.62,0
2.3,21.93,0
2.15,21.37,0
2.1,20.88,0
2.11,20.48,0
2.16,20.3,0
2.09,20.33,0
2.08,20.28,0
2.01,20.2,0
1.93,20.14,0
1.86,20.12,0
1.82,20.08,0
1.76,21.07,15.05
2.74,23.49,94.33
3.34,25.2,194.92
3.51,26.47,256.65
3.69,27.48,322.77
3.85,28.15,355
4.01,28.55,340.85
4.16,28.56,303.02
4.21,28.18,234.67
4.15,27.33,152.45
3.73,25.78,59.23
2.99,23.05,3.73
3.41,21.93,0
3.21,21.15,0
2.75,20.44,0
2.46,19.83,0
2.27,19.31,0
2.16,18.85,0
1.98,18.51,0
1.7,18.41,0
1.34,18.52,0
0.98,18.63,0
0.72,18.78,0
0.65,18.49,0
0.76,19.13,15.6
0.86,21.73,98.02
1.94,24.37,199.33
2.17,26.09,279.98
2.25,27.58,353.95
2.36,28.7,368.1
2.54,29.33,359.3
2.81,29.56,321.73
3.08,29.31,254.15
3.28,28.56,163.58
3.07,26.94,63.6
2.67,23.8,3.85
2.92,22.56,0
2.79,21.72,0
2.55,20.98,0
2.36,20.37,0
2.2,19.86,0
2.08,19.44,0
1.91,19.16,0
1.76,18.98,0
1.66,18.81,0
1.59,18.65,0
1.56,18.5,0
1.65,18.23,0
1.8,19.05,14.38
2.95,21.98,78.58
3.92,24.26,155.48
4.4,25.83,247.2
4.75,26.98,272.17
5.02,27.73,347.92
5.18,28.14,347.8
5.24,28.04,314.33
5.3,27.44,253.33
5.25,26.52,162.17
4.61,24.99,68.7
3.22,22.51,4.38
2.89,21.09,0
